generatedAt,sourceType,sourceTitle,sourceUrl,sourceDate,articleId,matchedHeroCount,emittedRowCount,confidence,notes
2026-05-21T23:47:19.390Z,official_patch_note,1.46a Hotfix,https://playeternalreturn.com/posts/news/2688?hl=en-US,2025-05-01T07:45:00.000000Z,2688,23,33,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.46 Cobalt Protocol Revamp Patch Notes,https://playeternalreturn.com/posts/news/2674?hl=en-US,2025-04-29T09:10:15.000000Z,2674,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.46 - April 30th, 2025",https://playeternalreturn.com/posts/news/2673?hl=en-US,2025-04-29T09:10:00.000000Z,2673,23,37,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.45d Hotfix,https://playeternalreturn.com/posts/news/2662?hl=en-US,2025-04-23T02:10:00.000000Z,2662,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.45c Hotfix,https://playeternalreturn.com/posts/news/2657?hl=en-US,2025-04-21T06:47:00.000000Z,2657,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.45b Hotfix,https://playeternalreturn.com/posts/news/2655?hl=en-US,2025-04-18T03:06:00.000000Z,2655,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.45a Hotfix,https://playeternalreturn.com/posts/news/2653?hl=en-US,2025-04-17T09:37:00.000000Z,2653,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.45 - April 17th, 2025",https://playeternalreturn.com/posts/news/2645?hl=en-US,2025-04-16T08:00:00.000000Z,2645,20,26,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.44d Hotfix,https://playeternalreturn.com/posts/news/2638?hl=en-US,2025-04-09T03:16:00.000000Z,2638,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.44c Hotfix,https://playeternalreturn.com/posts/news/2636?hl=en-US,2025-04-08T05:40:00.000000Z,2636,1,5,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.44b Hotfix,https://playeternalreturn.com/posts/news/2633?hl=en-US,2025-04-03T11:25:00.000000Z,2633,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.44a Hotfix,https://playeternalreturn.com/posts/news/2631?hl=en-US,2025-04-03T08:24:00.000000Z,2631,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.44 - April 3rd, 2025",https://playeternalreturn.com/posts/news/2623?hl=en-US,2025-04-02T08:00:00.000000Z,2623,28,34,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.43.1a Hotfix,https://playeternalreturn.com/posts/news/2604?hl=en-US,2025-03-27T10:40:00.000000Z,2604,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.43.1 - March 27th, 2025",https://playeternalreturn.com/posts/news/2598?hl=en-US,2025-03-26T08:00:00.000000Z,2598,10,15,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.43b Hotfix,https://playeternalreturn.com/posts/news/2595?hl=en-US,2025-03-24T07:14:00.000000Z,2595,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.43a Hotfix,https://playeternalreturn.com/posts/news/2592?hl=en-US,2025-03-21T08:39:00.000000Z,2592,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.43 PART 2: CHARACTERS & ITEMS - MARCH 20TH, 2025",https://playeternalreturn.com/posts/news/2585?hl=en-US,2025-03-19T08:01:00.000000Z,2585,6,19,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.43 PART 1 - MARCH 20TH, 2025",https://playeternalreturn.com/posts/news/2584?hl=en-US,2025-03-19T08:00:00.000000Z,2584,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.42b Hotfix,https://playeternalreturn.com/posts/news/2576?hl=en-US,2025-03-11T02:53:00.000000Z,2576,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.42a Hotfix,https://playeternalreturn.com/posts/news/2567?hl=en-US,2025-03-08T03:50:00.000000Z,2567,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.42 - March 6th, 2025",https://playeternalreturn.com/posts/news/2559?hl=en-US,2025-03-05T08:00:00.000000Z,2559,34,47,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.41 - February 20th, 2025",https://playeternalreturn.com/posts/news/2536?hl=en-US,2025-02-19T08:00:00.000000Z,2536,18,25,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.40c Hotfix,https://playeternalreturn.com/posts/news/2533?hl=en-US,2025-02-14T06:23:00.000000Z,2533,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.40b Hotfix,https://playeternalreturn.com/posts/news/2524?hl=en-US,2025-02-11T07:01:00.000000Z,2524,1,2,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.40 - February 6th, 2025",https://playeternalreturn.com/posts/news/2513?hl=en-US,2025-02-05T08:00:00.000000Z,2513,22,28,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.39.1b Hotfix,https://playeternalreturn.com/posts/news/2506?hl=en-US,2025-01-28T04:43:27.000000Z,2506,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.39.1a Hotfix,https://playeternalreturn.com/posts/news/2446?hl=en-US,2025-01-23T07:33:00.000000Z,2446,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.39.1 - January 23th, 2025",https://playeternalreturn.com/posts/news/2495?hl=en-US,2025-01-22T08:00:00.000000Z,2495,12,19,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.39c Hotfix,https://playeternalreturn.com/posts/news/2492?hl=en-US,2025-01-17T09:19:00.000000Z,2492,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.39b Hotfix,https://playeternalreturn.com/posts/news/2490?hl=en-US,2025-01-17T06:55:00.000000Z,2490,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.39a Hotfix,https://playeternalreturn.com/posts/news/2460?hl=en-US,2025-01-16T09:32:00.000000Z,2460,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.39 - January 16th, 2025",https://playeternalreturn.com/posts/news/2450?hl=en-US,2025-01-15T08:00:00.000000Z,2450,27,41,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.38c Hotfix,https://playeternalreturn.com/posts/news/2441?hl=en-US,2025-01-08T03:22:00.000000Z,2441,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.38b Hotfix,https://playeternalreturn.com/posts/news/2440?hl=en-US,2025-01-06T06:53:00.000000Z,2440,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.38a Hotfix,https://playeternalreturn.com/posts/news/2435?hl=en-US,2025-01-02T11:00:00.000000Z,2435,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.38 - January 2nd, 2025",https://playeternalreturn.com/posts/news/2426?hl=en-US,2024-12-31T08:00:00.000000Z,2426,23,35,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.37d Hotfix,https://playeternalreturn.com/posts/news/2420?hl=en-US,2024-12-26T06:54:00.000000Z,2420,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.37c Hotfix,https://playeternalreturn.com/posts/news/2415?hl=en-US,2024-12-24T05:21:00.000000Z,2415,3,5,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.37b Hotfix,https://playeternalreturn.com/posts/news/2413?hl=en-US,2024-12-20T07:36:00.000000Z,2413,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,[Edited] 1.37a Hotfix,https://playeternalreturn.com/posts/news/2412?hl=en-US,2024-12-19T09:49:00.000000Z,2412,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.37 - December 19th, 2024",https://playeternalreturn.com/posts/news/2401?hl=en-US,2024-12-18T08:00:00.000000Z,2401,23,31,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.36.1b Hotfix,https://playeternalreturn.com/posts/news/2395?hl=en-US,2024-12-13T06:50:00.000000Z,2395,2,2,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.36.1a Hotfix,https://playeternalreturn.com/posts/news/2393?hl=en-US,2024-12-12T07:03:00.000000Z,2393,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.36.1 - December 12th, 2024",https://playeternalreturn.com/posts/news/2381?hl=en-US,2024-12-11T08:00:00.000000Z,2381,9,9,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,[Edited] 1.36a Hotfix,https://playeternalreturn.com/posts/news/2376?hl=en-US,2024-12-06T08:36:00.000000Z,2376,2,3,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.36 Patch Notes Part.2 - Characters & Items,https://playeternalreturn.com/posts/news/2364?hl=en-US,2024-12-04T08:01:00.000000Z,2364,10,18,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.36: PART 1 (Main) - December 5th, 2024",https://playeternalreturn.com/posts/news/2363?hl=en-US,2024-12-04T08:00:00.000000Z,2363,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.35 - November 21st, 2024",https://playeternalreturn.com/posts/news/2331?hl=en-US,2024-11-20T08:00:00.000000Z,2331,35,51,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.34 - November 7th, 2024",https://playeternalreturn.com/posts/news/2304?hl=en-US,2024-11-06T08:00:00.000000Z,2304,22,34,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.33a Hotfix,https://playeternalreturn.com/posts/news/2288?hl=en-US,2024-10-29T03:30:00.000000Z,2288,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.33 - October 24th, 2024",https://playeternalreturn.com/posts/news/2277?hl=en-US,2024-10-23T08:00:00.000000Z,2277,28,37,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.32c Hotfix,https://playeternalreturn.com/posts/news/2252?hl=en-US,2024-10-15T08:08:00.000000Z,2252,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.32b Hotfix,https://playeternalreturn.com/posts/news/2249?hl=en-US,2024-10-11T06:20:00.000000Z,2249,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.32a Hotfix,https://playeternalreturn.com/posts/news/2245?hl=en-US,2024-10-10T08:42:00.000000Z,2245,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.32 - October 10th, 2024",https://playeternalreturn.com/posts/news/2237?hl=en-US,2024-10-09T08:00:00.000000Z,2237,17,27,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.31c Hotfix,https://playeternalreturn.com/posts/news/2220?hl=en-US,2024-09-30T06:08:00.000000Z,2220,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.31b Hotfix,https://playeternalreturn.com/posts/news/2212?hl=en-US,2024-09-27T08:04:00.000000Z,2212,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.31a Hotfix,https://playeternalreturn.com/posts/news/2207?hl=en-US,2024-09-26T09:30:00.000000Z,2207,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.31 - September 26th, 2024",https://playeternalreturn.com/posts/news/2201?hl=en-US,2024-09-25T08:00:00.000000Z,2201,28,43,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.30e Hotfix,https://playeternalreturn.com/posts/news/2195?hl=en-US,2024-09-19T07:46:05.000000Z,2195,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.30d Hotfix,https://playeternalreturn.com/posts/news/2193?hl=en-US,2024-09-19T03:02:00.000000Z,2193,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.30c Hotfix,https://playeternalreturn.com/posts/news/2190?hl=en-US,2024-09-17T03:30:00.000000Z,2190,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
